Date,Open,High,Low,Close,Adj Close,Volume
2020-01-03,12.125000,12.332500,12.075000,12.222500,11.890570,26737600
2020-01-06,12.100000,12.327500,11.950000,12.232500,11.900297,27359200
2020-01-07,12.235000,12.300000,12.125000,12.197500,11.866248,26818800
2020-01-08,12.155000,12.587500,12.125000,12.572500,12.231064,40007200
2020-01-09,12.625000,13.057500,12.605000,13.020000,12.666410,44120000
2020-01-10,13.022500,13.262500,12.762500,12.950000,12.598311,37484400
2020-01-13,13.050000,13.557500,13.037500,13.557500,13.189314,34307200
2020-01-14,13.500000,13.762500,13.400000,13.500000,13.133375,33180800
2020-01-15,13.420000,13.590000,13.300000,13.415000,13.050684,36965600
2020-01-16,13.550000,13.680000,13.075000,13.365000,13.002041,33515200
2020-01-17,13.450000,13.607500,13.275000,13.587500,13.218499,24184000
2020-01-20,13.530000,14.000000,13.512500,14.000000,13.619796,29623600
2020-01-21,13.930000,14.185000,13.902500,13.977500,13.597908,32257200
2020-01-22,14.127500,14.275000,13.707500,13.922500,13.544400,36062400
2020-01-23,13.920000,14.180000,13.732500,14.145000,13.760859,32739600
2020-01-24,14.192500,14.262500,14.000000,14.037500,13.656279,30074800
2020-01-27,13.762500,13.825000,13.437500,13.450000,13.084732,30095200
2020-01-28,13.502500,14.247500,13.502500,14.247500,13.860576,41425600
2020-01-29,14.377500,14.522500,14.162500,14.322500,13.933539,39798000
2020-01-30,14.092500,14.175000,13.755000,14.125000,13.741402,44303600
2020-01-31,13.910000,14.287500,13.800000,13.950000,13.571155,38781200
2020-02-03,14.120000,14.237500,13.915000,14.132500,13.748699,24566000
2020-02-04,14.400000,14.667500,14.282500,14.415000,14.023526,32872800
2020-02-05,14.625000,14.710000,14.257500,14.325000,13.935971,34484400
2020-02-06,14.500000,14.537500,13.950000,13.957500,13.578451,41164000
2020-02-07,13.925000,13.982500,13.375000,13.557500,13.189314,39083200
2020-02-10,13.500000,13.882500,12.885000,13.095000,12.739374,51324800
2020-02-11,13.300000,13.700000,12.932500,13.567500,13.199042,37954800
2020-02-12,13.632500,14.137500,13.562500,13.985000,13.605204,42104000
2020-02-13,13.730000,14.325000,13.525000,14.262500,13.875168,54978400
2020-02-14,14.400000,14.490000,14.000000,14.082500,13.700057,36680000
2020-02-17,14.500000,14.980000,14.287500,14.712500,14.312946,73775200
2020-02-18,14.562500,14.775000,14.375000,14.555000,14.159725,38234000
2020-02-19,14.587500,14.725000,14.402500,14.465000,14.072168,36514000
2020-02-20,14.482500,14.532500,13.957500,14.135000,13.751131,44558000
2020-02-21,13.912500,14.455000,13.850000,14.112500,13.729240,38342000
2020-02-26,null,null,null,null,null,null
2020-02-27,13.000000,13.350000,12.505000,12.562500,12.221335,58818800
2020-02-28,12.250000,12.630000,11.805000,12.630000,12.287003,78799200
2020-03-02,12.675000,13.360000,12.455000,13.137500,12.780720,64611600
2020-03-03,13.170000,13.700000,12.917500,13.212500,12.853683,58392000
2020-03-04,13.600000,13.615000,12.967500,13.112500,12.756399,45342400
2020-03-05,13.000000,13.000000,11.650000,11.947500,11.623038,84786000
2020-03-06,11.032500,11.602500,10.762500,11.332500,11.024740,113371200
2020-03-09,9.755000,10.590000,9.695000,10.090000,9.815983,97178400
2020-03-10,11.250000,11.752500,10.570000,11.747500,11.428469,82114000
2020-03-11,11.250000,11.692500,9.975000,10.770000,10.477515,80331600
2020-03-12,9.000000,9.707500,7.642500,8.500000,8.269163,70036800
2020-03-13,10.625000,10.690000,8.552500,10.500000,10.214848,120562800
2020-03-16,8.750000,9.977500,8.517500,8.517500,8.286187,92384800
2020-03-17,9.030000,9.420000,8.212500,8.892500,8.651002,108219600
2020-03-18,8.005000,8.405000,6.617500,7.202500,7.006898,121748400
2020-03-19,6.875000,7.842500,6.250000,7.637500,7.430085,112723200
2020-03-20,8.200000,9.017500,7.662500,7.662500,7.454406,113467200
2020-03-23,8.125000,8.232500,7.390000,7.552500,7.347394,85826000
2020-03-24,8.430000,9.447500,8.430000,9.170000,8.920967,82749200
2020-03-25,9.225000,10.837500,9.180000,10.000000,9.728427,125173600
2020-03-26,10.160000,11.100000,10.065000,10.280000,10.000822,91541200
2020-03-27,9.672500,10.185000,9.412500,9.750000,9.485215,68294000
2020-03-30,10.250000,10.505000,9.950000,10.400000,10.117563,75768800
2020-03-31,10.620000,10.800000,9.702500,9.747500,9.482784,97161600
2020-04-01,9.350000,9.782500,9.017500,9.370000,9.115535,73661200
2020-04-02,9.555000,9.675000,8.777500,8.972500,8.728831,82290000
2020-04-03,8.835000,8.912500,8.332500,8.885000,8.643706,65810400
2020-04-06,9.600000,9.845000,9.305000,9.550000,9.290647,65006000
2020-04-07,10.360000,10.650000,10.022500,10.022500,9.750316,78595200
2020-04-08,10.067500,10.550000,9.860000,10.490000,10.205119,63285200
2020-04-09,10.705000,10.925000,10.315000,10.412500,10.129725,51879600
2020-04-13,10.272500,10.525000,10.167500,10.477500,10.192958,33824400
2020-04-14,10.725000,10.850000,10.585000,10.725000,10.615612,45244400
2020-04-15,10.525000,11.080000,10.375000,10.962500,10.850689,54122400
2020-04-16,11.162500,11.500000,11.050000,11.392500,11.276303,58323600
2020-04-17,11.670000,11.722500,10.975000,11.147500,11.033802,48467600
2020-04-20,10.930000,12.137500,10.812500,12.120000,11.996384,79855600
2020-04-22,12.375000,13.045000,12.275000,12.637500,12.508605,89495600
2020-04-23,12.965000,13.125000,12.145000,12.367500,12.241359,70189600
2020-04-24,12.097500,12.287500,10.670000,11.845000,11.724188,105959200
2020-04-27,12.307500,12.500000,12.000000,12.375000,12.248783,70010000
2020-04-28,12.750000,12.950000,12.537500,12.950000,12.817917,57947200
2020-04-29,13.150000,13.222500,12.537500,12.655000,12.525927,67120400
2020-04-30,12.465000,12.887500,12.277500,12.425000,12.298271,46767600
2020-05-04,12.000000,12.920000,11.827500,12.860000,12.728835,52352400
2020-05-05,13.037500,13.200000,12.537500,12.550000,12.421998,51550000
2020-05-06,13.055000,14.020000,13.005000,13.787500,13.646876,119365600
2020-05-07,14.125000,14.550000,13.347500,14.197500,14.052693,92667200
2020-05-08,14.480000,14.480000,13.687500,13.885000,13.743382,55510000
2020-05-11,13.860000,14.137500,13.640000,13.737500,13.597386,33804400
2020-05-12,13.875000,14.250000,13.515000,13.700000,13.560267,41039200
2020-05-13,13.900000,13.985000,13.607500,13.775000,13.634502,49301600
2020-05-14,13.700000,13.927500,13.450000,13.875000,13.733483,53548400
2020-05-15,13.750000,14.062500,13.575000,13.782500,13.641927,35094400
2020-05-18,14.122500,14.172500,13.775000,13.937500,13.795345,41557600
2020-05-19,13.985000,14.812500,13.925000,14.645000,14.495629,59695200
2020-05-20,14.750000,14.875000,14.220000,14.225000,14.079914,48444800
2020-05-21,14.400000,14.775000,14.270000,14.572500,14.423869,42508800
2020-05-22,14.472500,14.825000,14.287500,14.412500,14.265501,44447200
2020-05-25,14.800000,15.250000,14.720000,15.100000,14.945989,43730800
2020-05-26,15.800000,17.032499,15.787500,16.120001,15.955586,102394400
2020-05-27,16.715000,16.942499,16.187500,16.840000,16.668243,56759600
2020-05-28,16.812500,16.885000,16.125000,16.312500,16.146122,54626400
2020-05-29,16.325001,16.422501,16.000000,16.087500,15.923416,67383200
2020-06-01,16.000000,16.165001,15.687500,15.925000,15.762574,35303200
2020-06-02,16.152500,16.245001,15.352500,15.450000,15.292418,74715200
2020-06-03,15.720000,15.870000,15.045000,15.595000,15.435940,78665200
2020-06-04,15.407500,15.537500,15.002500,15.122500,14.968260,51507200
2020-06-05,15.500000,15.522500,14.630000,14.862500,14.710911,77709600
2020-06-08,15.002500,15.820000,14.825000,15.595000,15.435940,82881200
2020-06-09,15.295000,15.922500,15.225000,15.595000,15.435940,45904400
2020-06-10,15.750000,16.264999,15.285000,16.150000,15.985280,79470000
2020-06-12,15.705000,16.250000,15.627500,15.987500,15.824437,68664400
2020-06-15,15.710000,16.462500,15.555000,16.462500,16.294592,58888800
2020-06-16,16.650000,16.867500,16.150000,16.500000,16.331709,62454000
2020-06-17,16.602501,17.165001,16.482500,16.797501,16.626177,77367600
2020-06-18,16.795000,17.730000,16.480000,17.424999,17.247274,78088800
2020-06-19,17.745001,17.934999,17.605000,17.850000,17.667940,80286000
2020-06-22,17.905001,18.084999,17.547501,17.725000,17.544216,37437600
2020-06-23,17.889999,18.022499,17.562500,17.562500,17.383373,29634800
2020-06-24,17.549999,17.895000,17.049999,17.450001,17.272022,42778400
2020-06-25,17.477501,17.674999,17.184999,17.422501,17.244802,31712800
2020-06-26,17.372499,17.727501,17.162500,17.337500,17.160667,32971600
2020-06-29,17.542500,17.602501,17.087500,17.602501,17.422966,33142400
2020-06-30,17.457500,18.225000,17.410000,17.912500,17.729803,51539200
2020-07-01,17.995001,18.125000,17.725000,18.075001,17.890646,35457200
2020-07-02,18.187500,18.312500,17.525000,17.525000,17.346256,43729600
2020-07-03,17.549999,18.012501,17.325001,18.000000,17.816412,28379600
2020-07-06,18.202499,18.295000,17.900000,17.997499,17.813934,32636000
